SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
71.0,11.0,18.0,1.56,79.97411330876572,0.387,0.137,0.125,0.1125,0.41132075471698104,0.6669266055045869,3.525,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,15.0,0.137,0,50,50,45,1000,574,4
71.0,11.0,18.0,1.56,79.97411330876572,0.387,0.137,0.125,0.1125,0.41132075471698104,0.6669266055045869,3.525,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,15.0,0.137,50,100,50,45,1000,574,4
71.0,11.0,18.0,1.56,79.97411330876572,0.387,0.137,0.125,0.1125,0.41132075471698104,0.6669266055045869,3.525,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,15.0,0.137,100,150,50,45,1000,574,4
71.0,11.0,18.0,1.56,79.97411330876572,0.387,0.137,0.125,0.1125,0.41132075471698104,0.6669266055045869,3.525,40.0,1.0,0.08,0.5,7.41,2.3255813953488373,15.0,0.137,150,200,50,45,1000,574,4
70.4,13.4,16.2,1.62,64.2233342351027,0.3775272727272728,0.15200000000000002,0.11539999999999999,0.1104,0.38867924528301884,0.6065888240200167,3.585,40.0,1.0,0.06952412451611717,0.5,7.41,1.1918604651162792,9.6,0.15200000000000002,200,400,200,45,1000,574,4
70.0,15.0,15.0,1.66,53.7228148526607,0.3712121212121213,0.162,0.109,0.109,0.3735849056603774,0.5663636363636364,3.625,40.0,1.0,0.06254020752686196,0.5,7.41,0.436046511627907,6.0,0.162,400,600,200,45,1000,574,4
73.0,13.8,13.2,1.6759999999999997,68.91647648490202,0.3651515151515152,0.14880000000000002,0.10120000000000001,0.10120000000000001,0.3675471698113208,0.5971788211788212,3.595,40.0,1.0,0.06013556356670701,0.5,7.41,0.37790697674418605,6.0,0.14880000000000002,600,800,200,45,1000,574,4
89.95,5.7,4.35,1.685,223.14238227806254,0.3617424242424243,0.06795,0.04415,0.04415,0.3641509433962264,0.809259683385921,3.3925,40.0,0.505,0.040734460978603476,0.5,7.41,0.07354370649291873,3.25,0.06795,800,1000,200,45,1000,574,4
94.0,3.0,3.0,1.64,299.60250349422233,0.37878787878787884,0.045,0.023,0.023,0.38113207547169814,0.8819306930693069,3.325,40.0,0.1,0.03273057545793495,0.5,7.41,0.014794054088604864,1.0,0.045,1000,1500,500,45,1000,574,4
94.0,3.0,3.0,1.64,299.60250349422233,0.37878787878787884,0.045,0.023,0.023,0.38113207547169814,0.8819306930693069,3.325,40.0,0.1,0.03273057545793495,0.5,7.41,0.014794054088604864,1.0,0.045,1500,2000,500,45,1000,574,4
